user_id,more_90_days_overdue,using_lines_not_secured_personal_assets,number_times_delayed_payment_loan_30_59_days,debt_ratio,number_times_delayed_payment_loan_60_89_days
1,0,0.667083229,0,0.153112222,0
2,0,0.007092527,0,0.1488,0
3,0,0.091212944,0,0.351635316,1
4,0,0.112679702,0,0.06595941,0
5,0,0.323985404,0,0.352150538,0
6,0,0.007299854,0,0.002288853,0
7,0,0,1,0.261610817,0
8,1,0.062279783,0,0.406667092,0
9,0,0.479899327,1,0.209902867,0
10,0,0.040262851,0,11.41791045,0
11,0,0.843405402,1,0.592719888,0
12,0,0.012197533,0,859,0
13,0,0.001346024,0,0,0
14,1,0.964023984,0,0.059348837,0
15,0,0.594159456,1,1.648362507,0
16,0,0.193098651,0,0.402775101,0
17,0,0.142581923,0,0.082849252,0
18,0,0.021974732,0,0.278103492,0
19,0,0.069206769,0,2610,0
20,0,0.679730033,0,1546,0
21,0,0.03195895,0,0.00939812,0
22,0,0.115360102,0,1477,0
23,5,0.9999999,0,1365,0
24,0,0.463463272,0,0.407847082,0
25,0,0.385941521,0,0.238935821,0
26,0,0.210206778,0,0.302714363,0
27,0,0.021943625,0,0.043182727,0
28,0,0.017425167,0,0.893159379,0
29,1,0.001496395,4,0.492458005,3
30,0,0.186146156,0,0.532410244,0
31,0,0.196758683,0,2835,0
32,0,0.022846024,0,0.075768614,0
33,0,0.457100576,0,4945,0
34,0,0,0,1565,0
35,0,0.188842147,0,1243,0
36,0,0.071393361,0,1221,0
37,0,0.009057006,0,6,0
38,0,0.190081662,0,0.075886843,0
39,0,0.713313484,0,2104,0
40,0,0.026774331,0,0.128515425,0
41,0,0.188517566,3,0.817720351,2
42,0,0.9999999,1,0.091191174,0
43,0,0,1,0.223186265,0
44,0,0.165751474,0,0.109831235,0
45,0,0.44596953,0,1634,0
46,0,0.026803597,0,56,0
47,0,0.022933674,0,0.300528031,0
48,0,0.054887623,0,0.142308615,0
49,0,0.000113819,0,0.17657082,0
50,0,0.093429188,0,2.527472527,0
51,0,0.079321709,0,0.022127433,0
52,0,0.040244363,2,0.274416226,0
53,0,0.010217705,0,0.003331113,0
54,0,0.686515026,0,0.309281786,0
55,0,0.066789741,0,0.037913507,0
56,0,0.9999999,0,0,0
57,0,0.626981331,2,5338,0
58,0,0.014022029,0,1795,0
59,0,0.9999999,0,0,0
60,0,0.182710086,0,0.028994201,0
61,0,0.022794657,0,0.879109226,0
62,0,0.058241061,0,36,0
63,0,0.200242796,0,0.256200281,0
64,0,0.9999999,0,0.539697354,0
